urn:cts:greekLit:tlg0012.tlg001.hmt01:10.1	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="1"> Alongside the ships the other best <note>aristos</note> men of the Panachaeans</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.255	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="255"> To the son of Tydeus Thrasymedes who stands his ground in war gave</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.256	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="256"> a two-edged sword—for he had left his own at the ship—</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.257	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="257"> and a shield. And on his head he <note>Diomedes</note> placed a leather cap</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.258	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="258"> of bull’s hide, without a plume or a boss, a skull-cap</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.259	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="259"> is what it is called, and it protects the head of flourishing, vigorous young men.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.260	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="260"> Meriones gave to Odysseus a bow and a quiver </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.261	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="261"> and a sword, and Odysseus placed on his head a leather cap</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.262	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="262"> made of hide. On the inside many leather straps</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.263	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="263"> were stretched tight, and on the outside white tusks</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.264	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="264"> from a white-tusked boar were arrayed one after another,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.265	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="265"> well and skillfully. And in the middle there was a layer of felt fastened to it. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.266	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="266"> This helmet from Amyntor of Eleon, the descendant of Ormenos,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.267	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="267"> Autolykos took, breaking into his closely fitted <note>pukinos</note> house,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.268	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="268"> and he <note>Autolykos</note> gave it to Amphidamas of Kythera to take to Skandeia.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.269	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="269"> Amphidamas gave it to Molos as a guest gift,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.270	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="270"> and he gave it to his son Meriones to carry. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.271	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="271"> At this time it surrounded and closely covered the head of Odysseus. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.272	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="272"> So when the two had put on the terrible implements of war,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.273	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="273"> they set out to go, and the two of them left there in that place the other best<note>aristos</note> men.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.274	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="274"> To them on the right near the road a night heron was sent</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.275	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="275"> by Pallas Athena. They did not see it with their eyes</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.276	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="276"> in the dark night, but they heard it cry out.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.277	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="277"> Odysseus rejoiced at the bird, and prayed to Athena,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.278	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="278"> “Hear me, child of aegis-shaking Zeus, you who always</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.279	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="279"> stand by me in every kind of labor <note>ponos</note>, nor do I escape your notice</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.280	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="280"> when I move. Now especially love <note>philos</note> me, Athena,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.281	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="281"> and grant that we arrive back at the ships with good fame <note>kleos</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.282	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="282"> after accomplishing a great deed, which will be on the minds of the Trojans.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.283	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="283"> Second, in turn, Diomedes, well-known for <note>agathos</note> his battle-cry, prayed,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.284	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="284"> “Hear now also me, child of Zeus, Atrutonē,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.285	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="285"> accompany me, as when you accompanied my father, radiant Tydeus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.286	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="286"> to Thebes, when he went as a mediator on behalf of the Achaeans.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.287	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="287"> Those men he left at the river Asōpos, the Achaeans with their bronze khitons,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.288	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="288"> and then he brought gracious words <note>muthos</note> to the Kadmeians</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.289	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="289"> there. But going back again he masterminded <note>cf. I-10-52</note> exceedingly astoundingdeeds</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.290	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="290"> together with you, radiant goddess, when you stood by him readily. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.291	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="291"> Just that way now for me, be willing to stand by and watch over me.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.292	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="292"> For you in return I will make a sacrifice of a one-year-old cow that is broad-browed</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.293	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="293"> and not broken, which a man has not yet driven under a yoke.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.294	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="294"> This cow I will make a sacrifice to you, after I have poured gold over its horns.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.295	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="295"> So he spoke praying, and Pallas Athena heard them. <note>cf. I-1.43</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.296	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="296"> When they had prayed to the daughter of great Zeus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.297	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="297"> they set out to go like two lions through the black night</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.298	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="298"> throughout the slaughter, throughout the corpses, and through the war gear and blackblood.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.299	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="299"> So, too, Hektor did not allow the audacious Trojans </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.300	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="300"> to sleep, but he summoned all the best <note>aristos</note> men together,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.301	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="301"> however many were leaders and rulers of the Trojans.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.302	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="302"> Once he called them together, he put together a solid <note>pukinos</note> plan <note>n:=I.2-55; need to make them the same: “[55</note> Upon calling these men together he put together asolid plan”]</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.303	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="303"> “Who would undertake and see to fulfillment <note>telos</note> this deed for me,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.304	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="304"> in return for a great gift? His reward will be more than enough. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.305	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="305"> For I will give a chariot and two horses with strong necks,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.306	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="306"> whichever are best <note>aristos</note> at the swift ships of the Achaeans.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.306	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="306"> v.l. the very ones <note>v.l. the fine ones, Aristophanes</note> which carry the faultlessson of Peleus <note> Zenodotus cf. I-10.323</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.307	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="307"> to him, whoever should dare—and he would win radiant glory <note>kudos</note> forhimself—</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.308	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="308"> to go near the swift-traversing ships and to find out <note>=I-10.320</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.309	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="309"> whether the swift ships are being watched as before,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.310	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="310"> or whether already subdued under our hands</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.311	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="311"> they are making plans among themselves for escape, and are not willing </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.312	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="312"> to keep the night watch, overcome by terrible exhaustion.” <note>=10.399</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.313	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="313"> So he spoke, and they all were silenced, speechless. <note>I-3.95, I-7.92, 7.398, 8.28,9.29, 9.430, 9.693, 10.218, 23.676</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.314	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="314"> There was among the Trojans someone named Dolon, son of Eumēdes.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.315	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="315"> Eumēdes was a divine herald, and Dolon had much gold and much bronze.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.316	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="316"> He was not good-looking, but he was swift-footed.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.317	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="317"> And he was the only son among five sisters.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.318	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="318"> It was he who at that point spoke words <note>muthos</note> to the Trojans and Hektor.<note>v.l. instead of “spoke words”: “spoke, standing next to him”</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.319	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="319"> “Hektor, my heart and audacious spirit <note>thumos</note> rouse me</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.320	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="320"> to go near the swift-traversing ships and to find this out <note>=I-10.308</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.321	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="321"> But come, hold up the scepter and swear to me</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.322	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="322"> that hereby <note>cf. I-1.77</note> the horses and the chariot with its intricate patterns<note>poikilos</note> in bronze</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.323	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="323"> you will give me, those which carry the faultless son of Peleus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.324	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="324"> and for you I will not fail as a spy nor will I fall short of expectation.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.325	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="325"> For I will go straight through the mass of warriors, all the way until I reach</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.326	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="326"> the ship of Agamemnon, where, I imagine, the best <note>aristos</note> men must be</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.327	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="327"> making their plans whether to flee or to fight.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.328	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="328"> So he spoke, and Hektor took the scepter in his hands and swore to him:</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.329	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="329"> “Let Zeus the loud-thundering husband of Hera know</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.330	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="330"> that no other man will drive those horses,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.331	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="331"> no other Trojan, but I say that they will make you shine through and through.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.332	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="332"> So he spoke, and swore a false oath and urged him on.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.333	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="333"> Immediately Dolon threw a curved bow around his shoulders.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.334	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="334"> He put around himself the skin of a gray wolf </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.335	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="335"> and on his head a helmet made from the hide of a marten, and he grabbed a sharpjavelin.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.336	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="336"> He set out to go from the mass of warriors toward the ships. But he was not going to</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.337	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="337"> come back from the ships and bring back words <note>muthos</note> for Hektor.</l>
